Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cyprus,CYP,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,25.0,25.0,23.37662338,21.79487179,20.95808383,21.01910828,20.24456522,21.10726644,22.4137931,21.83406114,21.41014617,20.95808383,21.31765138,21.28830978,19.97158194,21.47728312,,,,21.04038173,,,
Czechia,CZE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,0.460688798,,0.47150318,,0.556065282,0.279985777,0.310220059,0.539172285,0.57076974,0.56723267,0.511218404,0.511945392,0.515168861,0.716743119,0.710025561,0.709622481,0.709489766,0.624313433,0.623803579,,
Germany,DEU,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,1.384397498,,,2.208930475,,,,2.189614901,,,2.712047542,,,,3.052124134,,,
Djibouti,DJI,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,7.623318386,7.65478424,7.580887886,7.709750567,9.678611008,9.667896679,9.538114908,9.52023988,9.643128322,12.14775324,,,9.208523592,,5.543113081,8.304445545,8.20887014,8.698955366,11.65285904,9.007678282,9.014514897,,
Dominican Republic,DOM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,8.902186879,7.921272366,7.77412731,8.944973107,9.937939595,9.193214729,8.895324783,8.852732582,8.969545265,8.656654151,8.694201085,,,,,,,12.27169617,,,,,
Algeria,DZA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,1.809265343,1.927330174,2.001892699,2.027634103,2.193833026,2.07150984,2.137119381,2.381253928,2.384773364,2.519240575,2.629633129,2.742533369,2.931419515,3.047635166,3.160412605,,3.344654916,,,,
Ecuador,ECU,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,8.584779706,9.268965517,9.525707453,10.02666667,10.22299839,10.75283324,10.18132975,12.63537906,12.56385291,12.76867998,12.62838189,12.57819779,16.63926941,15.66764553,16.27991298,17.28085868,15.89574156,17.44840525,18.4501845,18.86654479,,
"Egypt, Arab Rep.",EGY,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,12.62533875,12.84883919,12.26974925,11.74366207,11.70964202,11.60311746,11.84830738,11.93873925,11.46585627,12.00217825,12.11964167,13.00571598,14.1846094,14.40288961,13.53985664,13.75977035,13.93354688,14.14541948,14.60980731,14.6549135,14.78509608,,
Estonia,EST,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,0.068034925,,,,,0.031618887,,,0.031088083,,,0.199401795,,,,,,,
Ethiopia,ETH,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,0.32396348,0.32461145,0.381561047,0.367058397,0.43731952,0.393056489,0.512586595,0.476255324,0.441331999,0.510046801,0.453128957,,,,,,1.840016143,2.080704957,,0.47144851,,,
Finland,FIN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,0.655351455,,,0.420633164,0.39698293,0.351895839,0.351648352,,,,,,,
